Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Alexandria gazette'],10-29-1873,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663717/1873102901/0412.pdf
['Alexandria gazette'],02-06-1872,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663687/1872020601/0133.pdf
['Shenandoah herald'],12-11-1873,2,['sn85026941'],['woodstock'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_jennet_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_jennet_ver02/data/sn85026941/00393348458/1873121101/0402.pdf
['The valley Virginian'],08-21-1873,3,['sn84024707'],"['clifton forge', 'staunton']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_lippizaner_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_lippizaner_ver01/data/sn84024707/00393348719/1873082101/0329.pdf
['Alexandria gazette'],12-03-1873,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663717/1873120301/0532.pdf
['Bristol news.'],12-09-1873,1,['sn85026955'],['bristol'],"['virginia', 'tennessee']",['University of Tennessee'],['tu_grady_ver01'],https://tile.loc.gov/storage-services/service/ndnp/tu/batch_tu_grady_ver01/data/sn85026955/0020029354A/1873120901/1111.pdf
['The daily dispatch'],01-10-1873,1,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742046/1873011001/0039.pdf
['The daily dispatch'],02-17-1872,1,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742022/1872021701/0171.pdf
['The valley Virginian'],12-04-1873,2,['sn84024707'],"['clifton forge', 'staunton']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_lippizaner_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_lippizaner_ver01/data/sn84024707/00393348719/1873120401/0388.pdf
['The Daily state journal'],12-03-1873,2,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762428/1873120301/0555.pdf
['The daily dispatch'],11-20-1873,1,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742058/1873112001/0491.pdf
['The daily dispatch'],11-17-1873,2,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742058/1873111701/0480.pdf
