Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Burlington weekly free press.'],11-18-1870,1,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/0028077702A/1870111801/0617.pdf
['Bellows Falls times.'],05-17-1872,2,['sn84022549'],['bellows falls'],['vermont'],['University of Vermont'],['vtu_melon_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_melon_ver01/data/sn84022549/00415628481/1872051701/0083.pdf
['National opinion.'],02-14-1873,1,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/00202197231/1873021401/0432.pdf
['The Middlebury register.'],11-22-1870,1,['sn83025667'],['middlebury'],['vermont'],['University of Vermont'],['vtu_irasburg_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_irasburg_ver01/data/sn83025667/00280777821/1870112201/0180.pdf
['Lamoille newsdealer.'],12-02-1874,1,['sn84023428'],['hyde park'],['vermont'],['University of Vermont'],['vtu_jay_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_jay_ver01/data/sn84023428/00202197450/1874120201/0201.pdf
['Spirit of the age.'],07-18-1872,2,['sn84023296'],['woodstock'],['vermont'],['University of Vermont'],['vtu_killington_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_killington_ver02/data/sn84023296/00200296102/1872071801/0862.pdf
['Orleans County monitor.'],08-31-1874,1,['sn84022871'],['barton'],['vermont'],['University of Vermont'],['vtu_ludlow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ludlow_ver01/data/sn84022871/00202194977/1874083101/0580.pdf
['Rutland weekly herald.'],06-05-1873,5,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628390/1873060501/0183.pdf
['Rutland weekly herald.'],01-16-1873,1,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628390/1873011601/0018.pdf
['Vermont watchman and State journal.'],12-07-1870,1,['sn84023200'],['montpelier'],['vermont'],['University of Vermont'],['vtu_graniteville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_graniteville_ver01/data/sn84023200/00280777651/1870120701/1084.pdf
['Lamoille newsdealer.'],07-06-1870,2,['sn84023428'],['hyde park'],['vermont'],['University of Vermont'],['vtu_jay_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_jay_ver01/data/sn84023428/00202197437/1870070601/0744.pdf
